Strategy,Regime,Months,Ann. return,Ann. vol,Sharpe,Sharpe CI lo,Sharpe CI hi,Sortino,Calmar,Omega,Info. ratio
Equity-option Greek Markowitz,Down,19,-0.6829981593072534,0.8473615115322116,-0.8060292449113555,-1.9750810746888119,0.10438587240719033,-1.0174021027573028,-0.8112764652737743,0.5719787566993084,-0.22531938413679548
Equity-option Greek Markowitz,Flat,21,0.5179963113239963,0.9276667768431708,0.5583861837617232,-0.7608433739548746,1.5560667396780585,1.1365911744874213,0.8234172998277783,1.525223511591858,-0.3347468884699433
Equity-option Greek Markowitz,Up,20,2.7874458422069104,1.1747806593461838,2.372737259530851,0.685144455427166,4.552813959508249,8.069474389760376,6.615232401472197,6.928073768795933,1.8076915549383163
Greek Markowitz + VIX,Down,19,0.8059127302337906,0.745594608982981,1.080899352710028,0.1528095537511492,1.9375737880943935,2.58345013144538,1.9179015992231805,2.234837902993126,1.7644511186256329
Greek Markowitz + VIX,Flat,21,0.5615362303662128,0.9168034397378091,0.612493590258347,-0.990954686857185,1.7862145463908519,1.3426914154801068,0.9647735571076166,1.6178203957950985,0.07343658620316076
Greek Markowitz + VIX,Up,20,2.3837275499173773,0.9845081485477939,2.4212369937552194,0.8308529160759204,4.231599230397304,6.597891552418188,7.181802863611111,5.57490914819884,1.7367989755620397
Beta/delta-neutral + VIX,Down,19,1.4867191705612692,0.7213056579141941,2.0611500190646335,1.3658372701651733,3.248103112356791,4.9389831560940625,5.1233747002789976,4.421808291683482,2.700397972555558
Beta/delta-neutral + VIX,Flat,21,0.6485208330435317,0.8148315173742825,0.7958956167200414,-0.665556458395508,1.8600647795577891,2.1542614754452765,1.7567982012043286,1.9896387889344809,0.15145024750355898
Beta/delta-neutral + VIX,Up,20,1.4228555225668855,0.9508786384195819,1.4963586992886473,-0.18173412016728813,3.218366761109881,3.419334372143088,3.3571328068730444,3.019499939803142,0.7766488552390961
Equal premium,Down,19,-0.5151762200700383,1.8899492365398494,-0.27258733203502944,-1.5619452192429322,0.45034151612910905,-0.4729594630035706,-0.535150426933005,0.8115258256164557,-0.01278278727652198
Equal premium,Flat,21,-2.367832575347482,0.8790396073248886,-2.693658574217513,-5.2583488356522015,-1.255507767840607,-2.2700649530346677,-2.3768548717333124,0.15513730598293585,-3.484482776206304
Equal premium,Up,20,2.809076817245586,2.3516468498895002,1.1945147365037312,0.31365333720643923,2.010025542057194,3.2362418751195676,3.71202408166271,2.5974489918691686,0.9173883507999867
Equal risk,Down,19,0.10118986379796775,1.4362538910955638,0.07045402238790864,-0.9540165325453852,0.867673704757062,0.1276944257419398,0.13014741604449023,1.0544748752009028,0.41117814019669807
Equal risk,Flat,21,-1.6541313472136112,0.6865905114937975,-2.4091963397728287,-4.471166754651117,-0.9902520459492887,-2.1129493377426316,-1.703322999137745,0.15522084810889106,-3.4474726874334984
Equal risk,Up,20,1.9537441463766163,1.419072163752896,1.3767757526930273,0.3022152421597246,2.375835278417777,3.6646063024688957,3.495037907108739,2.843191668726443,0.9154496163084318
VIX hedge sleeve,Down,19,-7.742937794025444,1.3675531325593764,-5.661891746417583,-9.79965613832236,-4.10031339766671,-2.9815718422442705,,0.02116205934357529,-5.2031171422928795
VIX hedge sleeve,Flat,21,-8.366687810196304,1.9088324904827405,-4.383144069430829,-6.18356588185036,-3.226154441493444,-2.8286980163154696,,0.1035215136912048,-4.129322693549928
VIX hedge sleeve,Up,20,-11.713924050632912,0.2756717365805817,-42.49229244873571,-107.21329192501237,-26.948971387114746,-3.453217463698769,,0.0,-40.56958959525832
Delta-matched equities,Down,19,-1.7671867490922775,0.6747986355936417,-2.6188356879791663,-4.396447389220778,-1.3748201489777327,-2.2036793360594764,-1.8167757439765901,0.15940107110987198,-2.0856160519193203
Delta-matched equities,Flat,21,1.271917149463874,0.7065890895282134,1.8000803696433068,0.7472122601841547,2.7883482431008564,5.920782256643764,3.8392350023121997,5.09061401438315,1.1719428213145169
Delta-matched equities,Up,20,3.6295264902376383,0.6975209591826095,5.203465849242583,3.5114142098721226,8.61290076491392,34.71631564637984,26.891142468021812,45.81857078003635,4.427998028632178
Underlying Markowitz,Down,19,-0.3191879564116742,0.11979585687017744,-2.6644323497562827,-4.819804044411234,-1.2646288465071605,-2.2622943221869236,-0.7651136477477622,0.1481087574624525,1.9482422275869589
Underlying Markowitz,Flat,21,0.17223403668780207,0.1846478689135518,0.93277023829849,-0.49620195725044275,2.168424162797735,2.087353377158181,1.1201866563987835,2.037569111546562,-0.7415441009097115
Underlying Markowitz,Up,20,0.6580379833734871,0.17187475179351422,3.828590159443759,2.462708642473982,6.121177719468972,15.942385499078364,17.45458751400985,15.149463642668064,-0.12799345330954645
