Strategy,Return basis,Method,Status,N obs,Source start,Source end,Periods/year,Period mean,Period volatility,Skewness,Excess kurtosis,Lag1 autocorr,Block length,Path count,Interpretation,Reason
Equity-option Greek Markowitz,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.07451371438208933,0.30651598929476415,0.7716093301687924,0.5178719552568456,0.09607312480837783,6.0,1000,tail-path diagnostic; not a trading signal,
Equity-option Greek Markowitz,Gross before costs,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.07451371438208933,0.30651598929476415,0.7716093301687924,0.5178719552568456,0.09607312480837783,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Greek Markowitz + VIX,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.10385993570900005,0.26177558283700925,0.4995530167408918,-0.4197786664873897,0.0031684101599444773,6.0,1000,tail-path diagnostic; not a trading signal,
Greek Markowitz + VIX,Gross before costs,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.10385993570900005,0.26177558283700925,0.4995530167408918,-0.4197786664873897,0.0031684101599444773,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Beta/delta-neutral + VIX,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.09767182248043887,0.239362899688171,0.522933344568326,-0.09938643201305952,-0.08280287745699007,6.0,1000,tail-path diagnostic; not a trading signal,
Beta/delta-neutral + VIX,Gross before costs,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.09767182248043887,0.239362899688171,0.522933344568326,-0.09938643201305952,-0.08280287745699007,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Delta-matched equities,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.09128366904269564,0.2688064435102376,0.1304291662945618,-0.35617194485970005,0.014361657924005204,6.0,1000,tail-path diagnostic; not a trading signal,
Delta-matched equities,Gross before costs,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.09128366904269564,0.2688064435102376,0.1304291662945618,-0.35617194485970005,0.014361657924005204,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Underlying Markowitz,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.014879310091794128,0.056710735486149716,0.43154638951906427,-0.6117591815418124,0.04140664041324582,6.0,1000,tail-path diagnostic; not a trading signal,
Underlying Markowitz,Gross before costs,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.014879310091794128,0.056710735486149716,0.43154638951906427,-0.6117591815418124,0.04140664041324582,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Equal premium,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.004626799887105748,0.5422686091765562,1.5723533890944212,2.4333778064863654,-0.2556109435804242,6.0,1000,tail-path diagnostic; not a trading signal,
Equal premium,Gross before costs,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.004626799887105748,0.5422686091765562,1.5723533890944212,2.4333778064863654,-0.2556109435804242,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Equal risk,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.008695461178066502,0.36810023690975846,1.1819676970847863,1.3464894956759728,-0.18781528804365255,6.0,1000,tail-path diagnostic; not a trading signal,
Equal risk,Gross before costs,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.008695461178066502,0.36810023690975846,1.1819676970847863,1.3464894956759728,-0.18781528804365255,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.7737426987684224,0.41689939497784945,2.188897154339324,4.114207485314351,-0.12489366870804901,6.0,1000,tail-path diagnostic; not a trading signal,
VIX hedge sleeve,Gross before costs,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.7737426987684224,0.41689939497784945,2.188897154339324,4.114207485314351,-0.12489366870804901,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.06783460478314655,0.30644744926091894,0.7747021213513707,0.5265920637887982,0.09612263369665744,6.0,1000,tail-path diagnostic; not a trading signal,
Equity-option Greek Markowitz,Full-spread post-cost,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.06783460478314655,0.30644744926091894,0.7747021213513707,0.5265920637887982,0.09612263369665744,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Greek Markowitz + VIX,Full-spread post-cost,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.07727993934633538,0.2609668968045728,0.48715061634101636,-0.4563825655297138,-0.007974826869299394,6.0,1000,tail-path diagnostic; not a trading signal,
Greek Markowitz + VIX,Full-spread post-cost,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.07727993934633538,0.2609668968045728,0.48715061634101636,-0.4563825655297138,-0.007974826869299394,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.06569136870902334,0.23932244896221275,0.49268368434269616,-0.17314268382374687,-0.09589144242386037,6.0,1000,tail-path diagnostic; not a trading signal,
Beta/delta-neutral + VIX,Full-spread post-cost,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.06569136870902334,0.23932244896221275,0.49268368434269616,-0.17314268382374687,-0.09589144242386037,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Delta-matched equities,Full-spread post-cost,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.09128366904269564,0.2688064435102376,0.1304291662945618,-0.35617194485970005,0.014361657924005204,6.0,1000,tail-path diagnostic; not a trading signal,
Delta-matched equities,Full-spread post-cost,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.09128366904269564,0.2688064435102376,0.1304291662945618,-0.35617194485970005,0.014361657924005204,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
Underlying Markowitz,Full-spread post-cost,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.014879310091794128,0.056710735486149716,0.43154638951906427,-0.6117591815418124,0.04140664041324582,6.0,1000,tail-path diagnostic; not a trading signal,
Underlying Markowitz,Full-spread post-cost,ewma_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.014879310091794128,0.056710735486149716,0.43154638951906427,-0.6117591815418124,0.04140664041324582,,1000,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
