Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,reason
Beta/delta-neutral + VIX,Full-spread post-cost,0,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,0.48602919769423436,0.6159928148016997,0.9353121990359573,1.9243093290259667,-0.5472712022611341,0.17692210852665347,0.2073593312415144,7.246640434258462,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,1,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.2627472957902911,0.8178419521224034,0.03837846095831851,0.0594433465162014,-0.972396642164573,0.24787297283285148,0.4692029059070028,0.2178120341871087,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,2,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.025772287772046543,0.6217077592520867,0.24718450426879787,0.42433840801982087,-0.8773727354121352,0.1906507145723372,0.26443749452961307,0.8776116814965794,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,3,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.4149629866878604,0.8247615358844369,1.5046423642785802,3.0425299707133435,-0.7612964768376149,0.26668707677693676,0.32916785250028696,82.13956419020094,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,4,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,0.6522594350565982,0.6277011557270947,1.1075776059784028,2.2902599108888895,-0.43614987491430246,0.18938124514486473,0.2117212186937052,12.313774685629733,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,5,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,0.31963741943173485,0.6245429797981585,0.7447948413792299,1.3570024186575067,-0.46767345810049477,0.20768460749328357,0.2230666682435145,4.0019633695656305,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,6,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,0.2701286380998964,0.6092720301757212,0.6816088557885706,1.2423457185618918,-0.42243882269223576,0.21181544546730927,0.2351863419410305,3.305510505311677,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,7,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,0.8462248487087416,0.6424758579137506,1.2717249090265712,2.83159694964577,-0.47860524403159177,0.17765302894722204,0.21740006723864727,21.44978580022008,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,8,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,0.16303553861447861,0.5265513709611725,0.5322450714573438,0.9791739295882987,-0.6163499776080237,0.18369221157358998,0.19288054015295017,2.1279671916196348,insufficient_egarch_obs
Beta/delta-neutral + VIX,Full-spread post-cost,9,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,0.2662760669927453,0.666529363371516,0.6838389517518627,1.1855600928452426,-0.5578280285510429,0.22623667519002108,0.3441721623933263,3.2556821113568257,insufficient_egarch_obs
