Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,reason
Equal premium,Full-spread post-cost,0,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8132722574154195,1.4367769989313868,-0.4075562482589177,-0.5974496140787269,-0.9999731950664223,0.530393256328862,0.5705901176668116,0.00022700960579575524,insufficient_egarch_obs
Equal premium,Full-spread post-cost,1,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8896950225259475,1.322047964826835,-0.8618243292338827,-1.1368001419378155,-0.9999851621263509,0.5708807676711347,0.666863205745892,1.632960017683938e-05,insufficient_egarch_obs
Equal premium,Full-spread post-cost,2,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7722015795638243,1.225450776490253,-0.567991933141396,-0.8363046873758544,-0.9996608551115458,0.42918043457217847,0.5710770544024661,0.0006134137994156068,insufficient_egarch_obs
Equal premium,Full-spread post-cost,3,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8691706755633763,1.403371033910418,-0.5773783852825736,-0.7814618481554223,-0.999981671414243,0.6073230212839777,0.7330792968110055,3.8328823970900986e-05,insufficient_egarch_obs
Equal premium,Full-spread post-cost,4,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9135235131506256,1.6185446565810229,-0.4358401903673062,-0.6143007919789695,-0.999997973939045,0.664182269652886,0.8100870692697648,4.836043396369562e-06,insufficient_egarch_obs
Equal premium,Full-spread post-cost,5,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.6951073216074237,1.6364510629886024,0.12412326663033066,0.20545611339855463,-0.9983674245591572,0.621324183141754,0.7315885197374415,0.0026347230889379033,insufficient_egarch_obs
Equal premium,Full-spread post-cost,6,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8963795314891673,1.219896128620391,-1.0415200889379121,-1.2698483762521524,-0.9999914935608808,0.5009644054649273,0.6203940988074383,1.1946144341809042e-05,insufficient_egarch_obs
Equal premium,Full-spread post-cost,7,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1.8875844921017795,-0.3351825302387894,-0.4914727847674532,-1.0003721709822624,0.7510680714335903,0.8945836377723885,-8.896528361436077e-07,insufficient_egarch_obs
Equal premium,Full-spread post-cost,8,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9503256798388967,1.2632896503598343,-1.4321223913831882,-1.622814723536779,-0.9999994894301126,0.5694570436715465,0.6505847102162384,3.024542284041996e-07,insufficient_egarch_obs
Equal premium,Full-spread post-cost,9,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.851395975398315,1.192148359714796,-0.8055587255720668,-0.995328030196565,-0.9999048763202691,0.5677189924983364,0.6620070946425834,7.246909824701823e-05,insufficient_egarch_obs
Equal premium,Full-spread post-cost,10,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.77622927052869,1.2308655982164245,-0.5609447652139414,-0.7957948724147355,-0.9997408977039975,0.49627167286359897,0.5192582191749153,0.0005610691476559419,insufficient_egarch_obs
Equal premium,Full-spread post-cost,11,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8604214154458008,2.0959922239097803,0.20170912718622894,0.34120302462656465,-0.9999652504484483,0.7390778391250923,0.8214558659170077,5.297780366164927e-05,insufficient_egarch_obs
Equal premium,Full-spread post-cost,12,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1.988167682758869,-0.8079414584845493,-1.0526199228291808,-1.0596329866876337,0.8325256989151284,1.0983156898023159,-3.514601707622093e-10,insufficient_egarch_obs
Equal premium,Full-spread post-cost,13,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8165329878381226,1.4541097885423544,-0.37085311037766544,-0.5449159928102089,-0.9999829645106099,0.5960911463271912,0.6350202206408806,0.00020786910288517985,insufficient_egarch_obs
Equal premium,Full-spread post-cost,14,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.832429701682458,1.1213062193332535,-0.8740015756599301,-1.0742844799657676,-0.9998838768838424,0.5168380264557976,0.6114998332223636,0.00013212506503189166,insufficient_egarch_obs
Equal premium,Full-spread post-cost,15,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8663508934439258,1.2142762107093756,-0.8694550466429933,-1.0795035849154,-0.9999834750474285,0.5601285475866274,0.6429924206442124,4.2641286521334945e-05,insufficient_egarch_obs
Equal premium,Full-spread post-cost,16,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9859909025067295,1.6623692175507305,-1.1141067114859486,-1.3824075664710467,-0.9999999994114265,0.8613559604912295,0.9158874913938334,5.395736739167816e-10,insufficient_egarch_obs
Equal premium,Full-spread post-cost,17,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.98782409533447,1.4625302085949075,-1.2178872311895814,-1.35802560917332,-0.9999999995984845,0.776931230898324,0.9193352255776749,2.676123465139409e-10,insufficient_egarch_obs
Equal premium,Full-spread post-cost,18,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9786361753717608,1.7956642659160136,-0.6436005384498834,-0.8409290000403407,-0.9999999989628511,0.7958740372435918,0.9061090505401683,4.450358787602517e-09,insufficient_egarch_obs
