Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
Equal premium,Gross before costs,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7008570733119058,1.409214584954331,-0.16433046752850336,-0.25959139419472416,-0.9997690704067581,0.48671232463808634,0.53144469147971,0.0023954863002096055,False,insufficient_egarch_obs
Equal premium,Gross before costs,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8300553397503025,1.2838979791674787,-0.6581960171504,-0.9159696916167113,-0.9998987574592856,0.5287920464535121,0.6299307497949886,0.00014175474884680202,False,insufficient_egarch_obs
Equal premium,Gross before costs,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.6659910615117615,1.1926606236748742,-0.3379356493343391,-0.5347518638548707,-0.9978850438841143,0.4129270612317286,0.5380588317080423,0.004157099755055354,False,insufficient_egarch_obs
Equal premium,Gross before costs,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7907068727279278,1.372161857793214,-0.35361755813777573,-0.5068066185072883,-0.9998683951181421,0.5631964241738039,0.7019148681503823,0.000401582553100753,False,insufficient_egarch_obs
Equal premium,Gross before costs,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8312985350725656,1.5807840790833787,-0.20114294740860125,-0.3021093279960668,-0.9999452917903424,0.6126714214730302,0.7672022490342241,0.00013664516491290087,False,insufficient_egarch_obs
Equal premium,Gross before costs,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.49504777334899086,1.6023121224272765,0.3503649611909022,0.6222431357478009,-0.9855777985697327,0.5768184096440171,0.6836076306580164,0.032828531648866795,False,insufficient_egarch_obs
Equal premium,Gross before costs,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8405001599941457,1.194148474219221,-0.8139833721222512,-1.055642333892342,-0.9999383945795656,0.44806623326782163,0.582827840367056,0.00010322889030485929,False,insufficient_egarch_obs
Equal premium,Gross before costs,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1.824002923979656,-0.1391703119678613,-0.21643176318701535,-1.0,0.689854901938389,0.8281132386401108,0.0,True,insufficient_egarch_obs
Equal premium,Gross before costs,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9139792144970736,1.213619132160658,-1.206896506737874,-1.4457529797461992,-0.9999962841960216,0.522862688673783,0.6065777718092368,4.709957844544922e-06,False,insufficient_egarch_obs
Equal premium,Gross before costs,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7671786201527024,1.1583023178212273,-0.5551692900766486,-0.7275034697958634,-0.9995122153905512,0.5306581744512792,0.6176820636387267,0.0006840916572112975,False,insufficient_egarch_obs
Equal premium,Gross before costs,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.6695336784812045,1.2045899805263616,-0.321594945766056,-0.48962702292592003,-0.9984990121403943,0.45688070423344646,0.4838867266037162,0.003941268581678009,False,insufficient_egarch_obs
Equal premium,Gross before costs,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.712282081289505,2.062391635053231,0.41261120291663844,0.7502131814206934,-0.9988673952721379,0.6901186157360688,0.7646249463305365,0.0019716714608033824,False,insufficient_egarch_obs
Equal premium,Gross before costs,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1.8727621752867936,-0.5965587504298007,-0.8221148025067548,-1.0,0.7842475165861967,1.013365504516776,0.0,True,insufficient_egarch_obs
Equal premium,Gross before costs,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7281965667487773,1.4445230592071026,-0.16404000695194212,-0.2567144692175019,-0.9998942708631021,0.5632217509547102,0.6088966092103996,0.0014834560730051362,False,insufficient_egarch_obs
Equal premium,Gross before costs,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7536996085379731,1.1093815598406362,-0.6103229261725251,-0.7999038006207481,-0.9993425604578825,0.4874913106701107,0.5798825161798388,0.0009064117160389403,False,insufficient_egarch_obs
Equal premium,Gross before costs,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7922233635834359,1.1946805746996079,-0.6173345807895435,-0.8185362675609641,-0.9998735365901102,0.5203762535248522,0.5939199772307421,0.00038724298322206175,False,insufficient_egarch_obs
Equal premium,Gross before costs,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9591105758131419,1.573146139097663,-0.9228413452933054,-1.2067436409295513,-0.9999998856976988,0.773247180803628,0.8267154961451304,1.1430230121013497e-07,False,insufficient_egarch_obs
Equal premium,Gross before costs,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9525905497716259,1.388689073451248,-0.9863987641782365,-1.1598096082318199,-0.9999997604894788,0.7036148830739342,0.8406176538495568,2.3951052124303704e-07,False,insufficient_egarch_obs
