Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,block_length
Equal risk,Full-spread post-cost,0,circular_block_bootstrap,60,ok,60,0.22098908318842447,1.3153565988288303,0.7002670732959129,1.488743277460061,-0.8690670545929557,0.37596822316745365,0.41907498261108883,2.7136816926365017,6
Equal risk,Full-spread post-cost,1,circular_block_bootstrap,60,ok,60,-0.6910974845579185,1.5185591848837816,-0.10595787011443393,-0.18502089721082646,-0.9984726277085395,0.4879911475669494,0.5285672374256215,0.002812595154449518,6
Equal risk,Full-spread post-cost,2,circular_block_bootstrap,60,ok,60,-0.7386687440989126,1.3037922937033137,-0.4142708491538718,-0.6565390643426413,-0.9988036075679898,0.4178681185602095,0.5208010648534257,0.0012188682881143448,6
Equal risk,Full-spread post-cost,3,circular_block_bootstrap,60,ok,60,-0.4824304897995061,1.2188060132211826,-0.005392633219870934,-0.009515113581256458,-0.9789393170773677,0.3800350196417874,0.4925178771498479,0.037140130171636684,6
Equal risk,Full-spread post-cost,4,circular_block_bootstrap,60,ok,60,-0.5953647010851835,1.2807346045097003,-0.11114501619540286,-0.18300046046522683,-0.9925516877811901,0.4879911475669494,0.5285672374256215,0.01084722957441395,6
Equal risk,Full-spread post-cost,5,circular_block_bootstrap,60,ok,60,-0.3253276736160742,1.4663435424743,0.310983343036307,0.6453285405352447,-0.9739053076699994,0.36360927097650725,0.4462007429403962,0.1397862593610181,6
Equal risk,Full-spread post-cost,6,circular_block_bootstrap,60,ok,60,-0.5432282331873182,1.140202992376287,-0.1505345147784325,-0.24231405814129492,-0.9897342154089998,0.4178681185602095,0.5115798158394687,0.01988365691919532,6
Equal risk,Full-spread post-cost,7,circular_block_bootstrap,60,ok,60,-0.7385354380789295,0.9142394360914634,-0.89693882099267,-1.069766330556801,-0.9981209944673449,0.45730415265412866,0.4749110149019882,0.001221980206935395,6
Equal risk,Full-spread post-cost,8,circular_block_bootstrap,60,ok,60,-0.40722091737449817,1.0480088228312219,0.03289696690078418,0.049872279879922925,-0.9827282581270221,0.45878025610547823,0.5115798158394687,0.07319212419913494,6
Equal risk,Full-spread post-cost,9,circular_block_bootstrap,60,ok,60,-0.8906365949814179,1.15367376203099,-1.2260853868483719,-1.5417775837121221,-0.9999840524023041,0.4879911475669494,0.5285672374256215,1.564444343795994e-05,6
Equal risk,Full-spread post-cost,10,circular_block_bootstrap,60,ok,60,-0.805637627755138,1.2539702767767718,-0.6303272226585227,-0.8837862868062164,-0.999799838152158,0.511507926749801,0.5377884864395786,0.0002773709382063313,6
Equal risk,Full-spread post-cost,11,circular_block_bootstrap,60,ok,60,-0.6923098665944503,1.485461536695932,-0.14579365725404786,-0.25462011465139006,-0.998513738824035,0.48682622168112,0.49265085111026685,0.0027578322790348226,6
Equal risk,Full-spread post-cost,12,circular_block_bootstrap,60,ok,60,-0.8319244050357135,1.1081743643107265,-0.9370280928999191,-1.175889031174419,-0.9999453020113486,0.511507926749801,0.5377884864395786,0.0001341291851966321,6
Equal risk,Full-spread post-cost,13,circular_block_bootstrap,60,ok,60,-0.5449057459416997,1.2795929655735816,-0.06334710698292424,-0.1129752833741872,-0.9871219339375519,0.37703310616484664,0.4725051206369093,0.01952121124301472,6
Equal risk,Full-spread post-cost,14,circular_block_bootstrap,60,ok,60,-0.5299366387987989,1.2646559020502033,-0.013958949247466169,-0.023345015756337843,-0.9902740333650659,0.4599451819913076,0.5101247393977074,0.022949963991165463,6
Equal risk,Full-spread post-cost,15,circular_block_bootstrap,60,ok,60,-0.7118502199374417,1.428434170053909,-0.22476799872261255,-0.37692577697415697,-0.999068991790286,0.48682622168112,0.5053914172998815,0.0019865132318031206,6
Equal risk,Full-spread post-cost,16,circular_block_bootstrap,60,ok,60,-0.7630974498216969,1.0806120023920718,-0.7552723284846463,-1.036382850361902,-0.9993354548602634,0.400267796592254,0.4925178771498478,0.0007461887188404861,6
Equal risk,Full-spread post-cost,17,circular_block_bootstrap,60,ok,60,-0.16156015944021973,1.298555726675696,0.41745622665343124,0.8096796906585465,-0.9585986893526282,0.37703310616484664,0.4725051206369093,0.41434254911067553,6
Equal risk,Full-spread post-cost,18,circular_block_bootstrap,60,ok,60,-0.6255322069835445,1.3452738708351064,-0.11080653135952011,-0.18519803518824648,-0.9944357602999895,0.48682622168112,0.5123073540603492,0.007363297634673324,6
Equal risk,Full-spread post-cost,19,circular_block_bootstrap,60,ok,60,-0.6552846559034067,1.1480514627694645,-0.3469325420111229,-0.511232418055639,-0.9981775904831657,0.48682622168112,0.5123073540603493,0.004867467680977282,6
Equal risk,Full-spread post-cost,20,circular_block_bootstrap,60,ok,60,0.22105787162318458,1.0946235582153956,0.6538320183122801,1.3136976750716114,-0.6789279388979541,0.32163360179121625,0.46540590065428944,2.7144461996790152,6
Equal risk,Full-spread post-cost,21,circular_block_bootstrap,60,ok,60,-0.6114263314712944,1.395137199682594,-0.04808276524875649,-0.08256871887874948,-0.9817782150686009,0.48682622168112,0.5053914172998815,0.0088586356076942,6
Equal risk,Full-spread post-cost,22,circular_block_bootstrap,60,ok,60,-0.7136741014651523,1.2890806052593795,-0.32644067474874516,-0.49377108880286547,-0.9979151256047282,0.511507926749801,0.5377884864395786,0.001924434621120417,6
Equal risk,Full-spread post-cost,23,circular_block_bootstrap,60,ok,60,-0.6353993532388058,1.0515554303760244,-0.3971923215324602,-0.5592336630623528,-0.9979776410835156,0.48682622168112,0.5123073540603493,0.006442985790573458,6
Equal risk,Full-spread post-cost,24,circular_block_bootstrap,60,ok,60,-0.4709171047641447,1.418263713355098,0.1691909745751426,0.30436498792513605,-0.993045715538689,0.48682622168112,0.5053914172998815,0.041458979425681775,6
Equal risk,Full-spread post-cost,25,circular_block_bootstrap,60,ok,60,-0.7177069339387937,1.3428020118501103,-0.32937411158667584,-0.5450757298664421,-0.9979850171670498,0.4879911475669494,0.5285672374256215,0.0017926729018503352,6
Equal risk,Full-spread post-cost,26,circular_block_bootstrap,60,ok,60,-0.6796503707873366,1.240666301789306,-0.31233449738191277,-0.4847453473022251,-0.9983965720449823,0.4893743349190429,0.5377884864395786,0.0033738139396487787,6
Equal risk,Full-spread post-cost,27,circular_block_bootstrap,60,ok,60,-0.6514342888363095,1.3527367461347226,-0.1826614166725195,-0.3131024847935592,-0.9974403896213556,0.45878025610547823,0.49459239425331586,0.0051454494265094465,6
Equal risk,Full-spread post-cost,28,circular_block_bootstrap,60,ok,60,-0.5859356825249389,1.3548801430712396,-0.07447761147054806,-0.13430060719549655,-0.9928288526792893,0.39811452619513454,0.4384345703682004,0.012171357845716716,6
Equal risk,Full-spread post-cost,29,circular_block_bootstrap,60,ok,60,-0.379549465927419,1.1157273670275245,0.059745741848067635,0.10537109975975122,-0.969739851970281,0.37596822316745365,0.39649494105436056,0.09194662945389592,6
Equal risk,Full-spread post-cost,30,circular_block_bootstrap,60,ok,60,-0.4677446364645792,1.1205648401789174,-0.05440110255456085,-0.09116292112669135,-0.9835135929876644,0.37703310616484664,0.45489825838904974,0.04271694962424149,6
Equal risk,Full-spread post-cost,31,circular_block_bootstrap,60,ok,60,-0.296924376819678,1.196256874923512,0.19940834361233636,0.3823946610292872,-0.8871130579224855,0.37703310616484664,0.44054312240825366,0.17179487444146374,6
Equal risk,Full-spread post-cost,32,circular_block_bootstrap,60,ok,60,-0.5418411924984973,1.2299696513363945,-0.05779151916235654,-0.09399925531819311,-0.996010571297897,0.45878025610547823,0.5038136432672728,0.02018739117964469,6
Equal risk,Full-spread post-cost,33,circular_block_bootstrap,60,ok,60,-0.69494133349401,1.3462564372987076,-0.2714686663053076,-0.4523234051194588,-0.9983484371291244,0.4178681185602095,0.5208010648534257,0.00264190281456129,6
Equal risk,Full-spread post-cost,34,circular_block_bootstrap,60,ok,60,-0.3972143008575707,1.450637329692196,0.2503090707471689,0.48755815736823727,-0.9734420235364217,0.4163920151088599,0.4847517045776521,0.07958197290619025,6
Equal risk,Full-spread post-cost,35,circular_block_bootstrap,60,ok,60,-0.4492132391487833,1.3375681610507706,0.12295459547424502,0.22728944930610995,-0.981989350900158,0.4178681185602095,0.5115798158394687,0.05068943649893458,6
Equal risk,Full-spread post-cost,36,circular_block_bootstrap,60,ok,60,-0.7382768402632258,1.0461252001996013,-0.6654017606800505,-0.8524733941206151,-0.9992810531459569,0.4879911475669494,0.5285672374256215,0.0012280350830145184,6
