Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
Equity-option Greek Markowitz,Full-spread post-cost,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.11350580159211487,0.3801243043189031,-0.13571914588157222,-0.21498541482554995,-0.7999298289197121,0.14330997122836142,0.15591328122710604,0.5474941570834172,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.11036221084948461,0.5121266945367292,0.4452695640662493,0.7994290450337639,-0.7826356810052832,0.1552348213202884,0.18374505555167353,1.6878092578362518,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.5244947822635495,0.47726071910969287,1.126468430273532,2.20315764443113,-0.4949723177397394,0.1669347137294131,0.20180129735973748,8.234357370851601,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,1.4001872216966107,0.4921033187189546,2.075950764702117,5.0119838790348075,-0.25425382703644184,0.12453927927908787,0.20550616480721687,79.65730267876877,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.06603748039070867,0.5670934569711312,0.14542842035189182,0.2461634117482719,-0.7118961787108032,0.1961991868875168,0.22101389816536454,0.7106360589709154,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.6542242248192238,0.3356333948484651,1.6885518568661542,4.259035512181429,-0.29493752947030816,0.09646787058204798,0.10037711930800473,12.387163849253643,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.06390442519796724,0.4205978257785288,0.34568723518252786,0.6018620202095737,-0.5224487429828069,0.13438825205541816,0.1645897236113196,1.3630540467490357,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.26339824924053157,0.43632663849083647,0.7499770217867316,1.3457209418728842,-0.4474711995857831,0.16335169935699054,0.18388349089501232,3.218854557049843,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.22160920691607888,0.4523436441654244,0.6618068751498051,1.1777638942436182,-0.4398234128321903,0.1749078740518819,0.186632305823801,2.720579905976754,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.10709963941324863,0.5026990138458796,0.4420905310124373,0.7735473331911142,-0.48984435635084933,0.18381112197314603,0.20361866042700716,1.663158143329725,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.038287583152561755,0.4929126940767519,0.3079851964931441,0.5318843498062235,-0.7164524251426674,0.17799294627443635,0.18012666942627775,1.2066694057873528,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.15497089185622603,0.36524216123764847,0.571390508904849,1.04702731604249,-0.3181605047249032,0.11228736900568032,0.18617698990479134,2.0552052247093218,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.2876728175854828,0.4618541000810981,-0.504456392160708,-0.7257273806552532,-0.8849790628868307,0.1963210905369603,0.2057587138204,0.18339926326094153,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.05024316012450747,0.4208991119064746,0.3160857503673395,0.5438543756266778,-0.5011887673152131,0.13943026446574355,0.1606442616964158,1.2777600603811288,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.08931660276138298,0.5133349007177013,0.40801761605237125,0.7295101372918418,-0.34641737895310576,0.15279802547602708,0.18139697877666391,1.5338066444344332,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,15,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.19363692161745494,0.4651069881069134,0.6002774372075655,1.1458671900505055,-0.5935128752300537,0.15374956826160663,0.17215465633776214,2.4230435491225393,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,16,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.0872136326298486,0.28969555641739003,-0.1743115692367244,-0.26270131213944203,-0.5686038863107925,0.10829609796341046,0.13042692090959432,0.6336445822738719,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,17,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.013401410933257418,0.38918243343371517,0.1506240569282612,0.24804595052877745,-0.5394033115856529,0.14231557484234802,0.16224272875871165,0.9347650156871259,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,18,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.30351672265044116,0.39565520589416786,0.8610949985874733,1.8077921663117063,-0.2515761252673847,0.12261735006256269,0.1337553628794584,3.763423004247823,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,19,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.05350440488488073,0.4496788949395,0.330249811866438,0.562185140008247,-0.5260638168181468,0.1461472775699797,0.1680545799013284,1.2977223342081434,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,20,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.1764964526613817,0.3424292331182211,0.6371725021719061,1.3283365408639858,-0.3960844221162402,0.10090401095836435,0.12109302442315872,2.253995840187908,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,21,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.04067072959557083,0.5388533698202523,0.3283307738621895,0.571716117229087,-0.630624518445104,0.2041248656946525,0.23684046429497677,1.2205812599766706,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,22,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.17118048194183255,0.3833067552940589,0.5954309371557166,1.1133803266324775,-0.5877712856202506,0.1265096744980139,0.14874936479980366,2.203530827372178,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,23,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.2796618849834924,0.40209244630682206,0.8076664612057614,1.6483394996135048,-0.405956114315157,0.12315438929636577,0.15987844019351025,3.431438130736113,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,24,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.09322880729711192,0.40495037532076106,0.41110203105401116,0.7493708241141994,-0.6507987269325031,0.12792201874168427,0.14812520142442884,1.5615479897514064,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,25,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.12403857294190179,0.4072772175981908,-0.1321241555260057,-0.21318879260957588,-0.5657868649545488,0.13195043790769553,0.16176388415649606,0.5157329891750907,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,26,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.048621102930444415,0.40269821929971117,0.30693686512563007,0.5494754507609325,-0.5994421318634611,0.13153260649268753,0.16044529361247792,1.2679232541685974,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,27,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.0625005510695702,0.3725592551895451,0.005400648566712949,0.008601764431334334,-0.723789611832337,0.14930443813543817,0.17008389987337316,0.7241943055828711,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,28,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.05583879642487277,0.39301187431059986,0.32226968814567813,0.5961970239024255,-0.37319698896923315,0.13684318795500125,0.15653212641198663,1.3121638831414753,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,29,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.047324716078100515,0.36292407537779275,0.04126520154572241,0.06421207019795028,-0.5246809503118249,0.1335507077886797,0.13853386949168478,0.7847376514871377,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,30,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.06160724262321937,0.42732416641578735,0.052827890826537466,0.08711797500205963,-0.6144490686880978,0.14650649029074203,0.15438256340853604,0.7276511765981604,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,31,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.2153787098841895,0.36591214727602933,0.7070241683402116,1.492678902269969,-0.38939694941339054,0.11049844792274174,0.12471821968333789,2.6519059768473894,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,32,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.18570230554795875,0.39194250292035554,0.620618462830136,1.2163350866509153,-0.32106044224906904,0.13134329153057148,0.1450673736994212,2.3435721137136007,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,33,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.1167450116764781,0.36554632551847294,0.477102042152377,0.8510507415862941,-0.32527161770884827,0.12996653775000286,0.1511815785067317,1.7368811669171225,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,34,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.17381129587687716,0.44285646797126477,0.573191973675631,1.0528627094171572,-0.34368719522233093,0.15063203507790762,0.15922168493607863,2.228391137706661,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,35,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.18348820996369597,0.5669305403089907,-0.08043002807930306,-0.12014600910731375,-0.912076838335823,0.1986693045584127,0.2561889794972747,0.36292116857942736,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,36,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.29831345614532,0.38912818539279953,0.8624513201560382,1.6701387440986772,-0.3003654669351056,0.13314656731112606,0.16763147760960628,3.688907721593106,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,37,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.08663140998467211,0.36051013323030445,-0.08049284206943476,-0.12954617327987045,-0.4489184605106532,0.11426110370935325,0.1571692067332495,0.6356680193774268,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,38,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.0027086684002756156,0.4389427088079906,0.2013915748448473,0.3364204892092935,-0.7483568818584527,0.15887718027790315,0.1734015273478043,0.9865298283807797,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,39,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.007446949950085102,0.3378345219944429,0.1412300595375267,0.22083434872854582,-0.4910766460128473,0.13335504993379005,0.1614859064124375,0.9633157063799248,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,40,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.03970013903736935,0.4750737505397355,0.13711349045773358,0.23246354087602014,-0.5662526183420552,0.16369179398741798,0.17724355715846082,0.8166469227584708,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,41,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.1437849087424684,0.37628321138542886,-0.2322254966780792,-0.3601817787610164,-0.641246961565402,0.16188775903500705,0.1729842305041821,0.46016585604915594,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,42,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.13889351626188662,0.332436594465956,-0.28949229592217696,-0.4408272134866335,-0.6997230343688798,0.12027104856476512,0.1361909168750585,0.4734610930673422,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,43,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.15534234632043908,0.4097145214359603,0.5486774508613418,0.9946250540406444,-0.436984892326858,0.14423341969829648,0.1702207852243466,2.058512262005592,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,44,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.15482477227564906,0.3375432669681526,0.5894453494884765,1.0804758817865512,-0.30799496153009864,0.11125694139499613,0.13496488680349347,2.0539054960684626,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,45,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.023491747235765192,0.33010559655636607,0.22984865451934178,0.36685276481821466,-0.5238447670500552,0.12758786130098546,0.14509735495979398,1.1231085300448858,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,46,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.0814680741127276,0.49327863319992454,0.3892222167464174,0.7024485125076599,-0.5608715693042656,0.1441740336519706,0.18131145994159872,1.4793417566818297,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,47,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.08588260567490014,0.3970714812407798,-0.03811124747255593,-0.06252149488101426,-0.682291047310982,0.14785885588248013,0.1642222170408417,0.6382779846114093,False,insufficient_egarch_obs
Equity-option Greek Markowitz,Full-spread post-cost,48,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,0.2567694746638942,0.4570454155449769,0.7192634707059623,1.376526622298272,-0.6471540501086082,0.1404355948770795,0.15393377821538293,3.135292896447114,False,insufficient_egarch_obs
