Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,block_length
VIX hedge sleeve,Full-spread post-cost,0,circular_block_bootstrap,60,ok,60,-1.0,1.0565951763959105,-9.772716631880067,-3.2804679332449087,-1.0002143575695066,1.109197913881503,1.1304219643743796,0.0,6
VIX hedge sleeve,Full-spread post-cost,1,circular_block_bootstrap,60,ok,60,-1.0,1.5326769828682234,-6.031059037417397,-3.0340724555961707,,1.0609256310950126,1.1089387387387388,0.0,6
VIX hedge sleeve,Full-spread post-cost,2,circular_block_bootstrap,60,ok,60,-1.0,1.4468751161103788,-6.747331675877677,-3.1181291719727677,-1.0,1.108963755970082,1.135992582952588,0.0,6
VIX hedge sleeve,Full-spread post-cost,3,circular_block_bootstrap,60,ok,60,-1.0,1.6380143013530646,-5.355466088736777,-2.9501077528506374,-1.1141222415940224,1.1141222415940224,1.1263470336792902,0.0,6
VIX hedge sleeve,Full-spread post-cost,4,circular_block_bootstrap,60,ok,60,-1.0,1.5792392173949754,-5.749772914667545,-3.0057837252452813,-1.0,1.1089387387387388,1.1115304901663805,-0.0,6
VIX hedge sleeve,Full-spread post-cost,5,circular_block_bootstrap,60,ok,60,-1.0,1.0292866869283464,-10.317186061011801,-3.296005074506035,,1.1116666386683327,1.1630214099350942,0.0,6
VIX hedge sleeve,Full-spread post-cost,6,circular_block_bootstrap,60,ok,60,-1.0,1.4707033591651282,-6.460379326783921,-3.0948393924482662,-1.003276852720113,1.109221680251279,1.1304219643743796,-0.0,6
VIX hedge sleeve,Full-spread post-cost,7,circular_block_bootstrap,60,ok,60,-1.0,1.6226544754764065,-5.507564901257529,-2.9739104534424476,,1.0556391996594297,1.0947596836964264,-0.0,6
VIX hedge sleeve,Full-spread post-cost,8,circular_block_bootstrap,60,ok,60,-1.0,1.2643266925907144,-8.064867551209774,-3.205037964690532,,1.0560345679012346,1.0705564863244315,0.0,6
VIX hedge sleeve,Full-spread post-cost,9,circular_block_bootstrap,60,ok,60,-1.0,1.6981973509793291,-5.083642606945249,-2.911303826994532,0.0,1.108939989600306,1.1269829739584194,-0.0,6
VIX hedge sleeve,Full-spread post-cost,10,circular_block_bootstrap,60,ok,60,-1.0,1.5695110413053757,-5.739004992349675,-3.011567979380268,,1.0560345679012346,1.057216596665394,0.0,6
VIX hedge sleeve,Full-spread post-cost,11,circular_block_bootstrap,60,ok,60,-1.0,1.3637817047285674,-7.028182915318859,-3.1321722429719268,-1.0,1.0558609112709831,1.055904325428546,0.0,6
VIX hedge sleeve,Full-spread post-cost,12,circular_block_bootstrap,60,ok,60,-1.0,1.5557306503397446,-5.7632816412314085,-3.007631347442539,-1.0,1.0536207407407407,1.0554186687030673,0.0,6
VIX hedge sleeve,Full-spread post-cost,13,circular_block_bootstrap,60,ok,60,-1.0,1.4252348396692955,-6.8451576217981565,-3.1257039317185336,-1.0002143575695066,1.108939989600306,1.1287024691663996,0.0,6
VIX hedge sleeve,Full-spread post-cost,14,circular_block_bootstrap,60,ok,60,-1.0,1.6279704204010672,-5.578904072332003,-2.9793075725825795,0.0,1.109221680251279,1.146721687154737,-0.0,6
VIX hedge sleeve,Full-spread post-cost,15,circular_block_bootstrap,60,ok,60,-1.0,1.512100460449456,-5.872650513054941,-3.0166902426982993,,1.0559877969789115,1.0920920343023435,0.0,6
VIX hedge sleeve,Full-spread post-cost,16,circular_block_bootstrap,60,ok,60,-1.0,1.839264647815827,-4.354485227340045,-2.787059012173907,-1.0,1.108939989600306,1.1269829739584194,-0.0,6
VIX hedge sleeve,Full-spread post-cost,17,circular_block_bootstrap,60,ok,60,-1.0,1.4984439319418028,-6.171662399058867,-3.0606897152657253,-1.0719624325975046,1.1089387387387388,1.1115304901663805,-0.0,6
VIX hedge sleeve,Full-spread post-cost,18,circular_block_bootstrap,60,ok,60,-1.0,1.0810174578816636,-9.760897121221472,-3.282851419885314,-1.0,1.0583986254295532,1.0894362084387672,0.0,6
VIX hedge sleeve,Full-spread post-cost,19,circular_block_bootstrap,60,ok,60,-1.0,1.5092564572725495,-6.237607307827666,-3.079278429780945,0.0,1.108963755970082,1.1237677908673203,-0.0,6
VIX hedge sleeve,Full-spread post-cost,20,circular_block_bootstrap,60,ok,60,-1.0,1.3881737334292705,-6.926010483752723,-3.12828210011574,-1.0,1.109197913881503,1.1141222415940224,-0.0,6
VIX hedge sleeve,Full-spread post-cost,21,circular_block_bootstrap,60,ok,60,-1.0,1.49106269164216,-6.212838388189396,-3.060430017274798,-1.0,1.0609256310950126,1.1269746348813052,-0.0,6
VIX hedge sleeve,Full-spread post-cost,22,circular_block_bootstrap,60,ok,60,-1.0,1.530560460219763,-5.991680894685505,-3.0348661276806483,,1.108939989600306,1.1287024691663996,-0.0,6
VIX hedge sleeve,Full-spread post-cost,23,circular_block_bootstrap,60,ok,60,-1.0,1.6045000339564333,-5.707266563189331,-3.018376042231553,-1.0,1.0556391996594297,1.0753971257988306,-0.0,6
VIX hedge sleeve,Full-spread post-cost,24,circular_block_bootstrap,60,ok,60,-1.0,1.4811451187208802,-6.189698935362225,-3.051229027375304,-1.0087245912579244,1.058514802644371,1.1106665730238332,0.0,6
VIX hedge sleeve,Full-spread post-cost,25,circular_block_bootstrap,60,ok,60,-1.0,1.6064283883172161,-5.870886216927954,-3.022266684745275,-1.0,1.1116666386683327,1.1630214099350942,-0.0,6
VIX hedge sleeve,Full-spread post-cost,26,circular_block_bootstrap,60,ok,60,-1.0,1.6161232732472972,-5.850299903450526,-3.0338169901133862,0.0,1.108963755970082,1.135992582952588,-0.0,6
VIX hedge sleeve,Full-spread post-cost,27,circular_block_bootstrap,60,ok,60,-1.0,1.3700876737749663,-6.993019746420966,-3.1326400813160435,-1.0,1.0609268819565796,1.1287024691663996,-0.0,6
VIX hedge sleeve,Full-spread post-cost,28,circular_block_bootstrap,60,ok,60,-1.0,1.1402772189501817,-9.28450677788198,-3.2677912870994694,-1.0,1.109221680251279,1.146721687154737,0.0,6
VIX hedge sleeve,Full-spread post-cost,29,circular_block_bootstrap,60,ok,60,-1.0,1.6153067552443432,-5.5779448715689455,-2.993131023310745,-1.0,1.1141222415940224,1.1239020752622368,-0.0,6
VIX hedge sleeve,Full-spread post-cost,30,circular_block_bootstrap,60,ok,60,-1.0,1.4660166854327608,-6.530785064045395,-3.097742650915208,,1.0561527707776506,1.093819868587438,0.0,6
VIX hedge sleeve,Full-spread post-cost,31,circular_block_bootstrap,60,ok,60,-1.0,1.6017848472991636,-6.09767920969252,-3.0629231708114313,,1.1116666386683327,1.1630214099350942,0.0,6
VIX hedge sleeve,Full-spread post-cost,32,circular_block_bootstrap,60,ok,60,-1.0,1.2847404853236661,-7.48163793698875,-3.173670190943443,,1.0388248929834354,1.0559600924804258,0.0,6
VIX hedge sleeve,Full-spread post-cost,33,circular_block_bootstrap,60,ok,60,-1.0,1.3389022843431746,-7.703600507992245,-3.18965414855747,,1.109221680251279,1.146721687154737,0.0,6
VIX hedge sleeve,Full-spread post-cost,34,circular_block_bootstrap,60,ok,60,-1.0,1.5195258267042904,-6.260974263537798,-3.0651172666916597,,1.108939989600306,1.1287024691663996,0.0,6
VIX hedge sleeve,Full-spread post-cost,35,circular_block_bootstrap,60,ok,60,-1.0,1.5065573960256067,-6.244815189986506,-3.0740103055643258,-1.0,1.109221680251279,1.146721687154737,-0.0,6
VIX hedge sleeve,Full-spread post-cost,36,circular_block_bootstrap,60,ok,60,-1.0,1.5640226432300923,-5.85048129997728,-3.0217043443693368,,1.0560345679012346,1.0711475007065112,-0.0,6
VIX hedge sleeve,Full-spread post-cost,37,circular_block_bootstrap,60,ok,60,-1.0,1.3928337589423923,-6.843153097181901,-3.1142881887831764,,1.0561527707776506,1.0920920343023435,0.0,6
VIX hedge sleeve,Full-spread post-cost,38,circular_block_bootstrap,60,ok,60,-1.0,1.543359943125639,-6.07629013680221,-3.038476602455096,,1.108963755970082,1.135992582952588,0.0,6
VIX hedge sleeve,Full-spread post-cost,39,circular_block_bootstrap,60,ok,60,-1.0,0.9495190142734292,-11.338716085970857,-3.3221120923949,,1.0583986254295532,1.0971956041910707,-0.0,6
VIX hedge sleeve,Full-spread post-cost,40,circular_block_bootstrap,60,ok,60,-1.0,1.436939078692729,-6.450844147204842,-3.085821948325754,,1.0582844082013048,1.1106665730238332,-0.0,6
VIX hedge sleeve,Full-spread post-cost,41,circular_block_bootstrap,60,ok,60,-1.0,1.638384721420293,-5.752898554440356,-2.9991751448521042,-1.0,1.1116666386683327,1.1630214099350942,-0.0,6
VIX hedge sleeve,Full-spread post-cost,42,circular_block_bootstrap,60,ok,60,-1.0,1.3946815809289406,-6.747954449875042,-3.107606865338721,,1.0583986254295532,1.0862604335117878,0.0,6
VIX hedge sleeve,Full-spread post-cost,43,circular_block_bootstrap,60,ok,60,-1.0,1.628348834843308,-5.72993677858624,-3.008837807643847,0.0,1.108963755970082,1.135992582952588,0.0,6
VIX hedge sleeve,Full-spread post-cost,44,circular_block_bootstrap,60,ok,60,-1.0,1.5936416219713525,-5.684290754614192,-3.0112064456976344,-1.0719624325975046,1.1141222415940224,1.1239020752622366,-0.0,6
VIX hedge sleeve,Full-spread post-cost,45,circular_block_bootstrap,60,ok,60,-1.0,1.3269510765624066,-7.487388413658343,-3.1702519181121342,,1.108939989600306,1.1287024691663996,0.0,6
VIX hedge sleeve,Full-spread post-cost,46,circular_block_bootstrap,60,ok,60,-1.0,0.9501292037050759,-11.201410707833702,-3.3213339004249938,,1.0537414320987655,1.0744573106898423,0.0,6
VIX hedge sleeve,Full-spread post-cost,47,circular_block_bootstrap,60,ok,60,-1.0,1.5872441491799933,-5.806475359508793,-3.019380747573669,-1.0002143575695066,1.0609256310950126,1.1123944073089278,-0.0,6
VIX hedge sleeve,Full-spread post-cost,48,circular_block_bootstrap,60,ok,60,-1.0,1.3556440893923885,-7.095326345657661,-3.1278179819412943,,1.0583986254295532,1.0786146707532274,-0.0,6
VIX hedge sleeve,Full-spread post-cost,49,circular_block_bootstrap,60,ok,60,-1.0,1.3471666403760825,-7.185061696169122,-3.155412842093927,,1.0557574025358456,1.093819868587438,0.0,6
VIX hedge sleeve,Full-spread post-cost,50,circular_block_bootstrap,60,ok,60,-1.0,1.6108200141862279,-5.679498181031131,-2.9887593826046666,-1.0,1.108963755970082,1.135992582952588,-0.0,6
VIX hedge sleeve,Full-spread post-cost,51,circular_block_bootstrap,60,ok,60,-1.0,1.4076483167267788,-6.902576447190211,-3.1214473978203983,,1.0560345679012346,1.0681249141454559,-0.0,6
VIX hedge sleeve,Full-spread post-cost,52,circular_block_bootstrap,60,ok,60,-1.0,1.4867448194828883,-6.305299818458019,-3.065789656966163,-1.0,1.0609256310950126,1.1269746348813052,0.0,6
VIX hedge sleeve,Full-spread post-cost,53,circular_block_bootstrap,60,ok,60,-1.0,1.7838385538685853,-4.8065702602349525,-2.8666381871442295,-1.0087245912579244,1.1141222415940224,1.1385718257645583,0.0,6
VIX hedge sleeve,Full-spread post-cost,54,circular_block_bootstrap,60,ok,60,-1.0,1.3308396531056816,-7.2850854119887805,-3.1538227634647957,-1.1141222415940224,1.108939989600306,1.1287024691663996,0.0,6
VIX hedge sleeve,Full-spread post-cost,55,circular_block_bootstrap,60,ok,60,-1.0,1.1318183918940585,-9.206776498732667,-3.2608246689937217,-1.0,1.109221680251279,1.1304219643743796,-0.0,6
VIX hedge sleeve,Full-spread post-cost,56,circular_block_bootstrap,60,ok,60,-1.0,1.4494397710948104,-6.353297939077881,-3.0759049857908036,-1.0002143575695066,1.0560345679012346,1.0711475007065112,0.0,6
VIX hedge sleeve,Full-spread post-cost,57,circular_block_bootstrap,60,ok,60,-1.0,1.415989139476416,-6.822778860329732,-3.1262554896374333,,1.0561527707776506,1.0938282076645525,0.0,6
VIX hedge sleeve,Full-spread post-cost,58,circular_block_bootstrap,60,ok,60,-1.0,1.237889887262699,-8.266291379239815,-3.20990836620493,-1.0,1.1116666386683327,1.1630214099350942,-0.0,6
VIX hedge sleeve,Full-spread post-cost,59,circular_block_bootstrap,60,ok,60,-1.0,1.6709513678594123,-5.401898868920944,-2.965370894814842,0.0,1.108963755970082,1.1237677908673203,-0.0,6
VIX hedge sleeve,Full-spread post-cost,60,circular_block_bootstrap,60,ok,60,-1.0,1.7452115524694929,-4.932947983943817,-2.8945175082279504,,1.0586797764431097,1.1106665730238332,-0.0,6
VIX hedge sleeve,Full-spread post-cost,61,circular_block_bootstrap,60,ok,60,-1.0,1.5614544303042255,-6.116997731882776,-3.0610359249332593,-1.0,1.1141222415940224,1.1239020752622366,-0.0,6
VIX hedge sleeve,Full-spread post-cost,62,circular_block_bootstrap,60,ok,60,-1.0,1.3532918159757428,-7.216657127437874,-3.1507662518131037,-1.0,1.108939989600306,1.1450021919467568,0.0,6
VIX hedge sleeve,Full-spread post-cost,63,circular_block_bootstrap,60,ok,60,-1.0,1.7953500601537118,-4.441690579807073,-2.788440459533258,,1.0561527707776506,1.1101279304449099,-0.0,6
VIX hedge sleeve,Full-spread post-cost,64,circular_block_bootstrap,60,ok,60,-1.0,1.2096180023173733,-8.647141413340314,-3.2353319745400486,,1.058681027304677,1.1450021919467568,0.0,6
VIX hedge sleeve,Full-spread post-cost,65,circular_block_bootstrap,60,ok,60,-1.0,1.633479172324727,-5.7911846467489685,-3.026094448220981,-1.0090366764221381,1.1630214099350942,1.1630214099350942,0.0,6
VIX hedge sleeve,Full-spread post-cost,66,circular_block_bootstrap,60,ok,60,-1.0,1.2307611253861568,-8.508946051469156,-3.2375738247940067,-1.0,1.0560345679012346,1.0565073794068984,-0.0,6
VIX hedge sleeve,Full-spread post-cost,67,circular_block_bootstrap,60,ok,60,-1.0,1.1588799661416247,-9.135850687477529,-3.2517304319050715,-1.0558609112709831,1.109221680251279,1.146721687154737,0.0,6
VIX hedge sleeve,Full-spread post-cost,68,circular_block_bootstrap,60,ok,60,-1.0,1.596996344931745,-5.620879322666725,-3.0068853794689394,,1.0609256310950126,1.1123944073089278,0.0,6
VIX hedge sleeve,Full-spread post-cost,69,circular_block_bootstrap,60,ok,60,-1.0,1.4328878731555181,-6.718074418889094,-3.118483461666271,-1.0556183908045977,1.0585160535059381,1.1287024691663996,-0.0,6
VIX hedge sleeve,Full-spread post-cost,70,circular_block_bootstrap,60,ok,60,-1.0,1.4306100865961098,-6.774629596816133,-3.117885692333902,-1.0719624325975046,1.109221680251279,1.1304219643743796,-0.0,6
VIX hedge sleeve,Full-spread post-cost,71,circular_block_bootstrap,60,ok,60,-1.0,0.9941281828433015,-10.641299560321839,-3.305129011305159,,1.108963755970082,1.1237677908673203,-0.0,6
VIX hedge sleeve,Full-spread post-cost,72,circular_block_bootstrap,60,ok,60,-1.0,1.294408810798277,-7.838490505752279,-3.1874795131241,-1.0558609112709831,1.108963755970082,1.135992582952588,0.0,6
VIX hedge sleeve,Full-spread post-cost,73,circular_block_bootstrap,60,ok,60,-1.0,1.446490300828502,-6.4059434984008226,-3.077532864313273,-1.0,1.109221680251279,1.1304219643743796,0.0,6
