Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,reason
VIX hedge sleeve,Full-spread post-cost,0,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.2242656906696764e+36,630849.6793816667,-1.2497867158817504,-1.1843986776342756,-386359.71361916495,388538.19955097954,688456.9495583059,2.7502893941409693e+180,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,1,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,4.972873040301501e+32,252852.46923053375,-1.4535931995737095,-1.3520240978618778,-1594832790.777002,212621.18257991367,282314.8358866925,3.041143113901099e+163,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,2,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.0077182770260306e+33,526947.9312312499,-1.218183383391384,-1.158215027782259,-24424687093716.254,279771.3446097887,614153.3484924227,1.0391917188205967e+165,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,3,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,2.6102491905144624e+49,26129530.017801605,-1.3603485241177622,-1.2818967925495572,-8627764500.564342,18951588.248064075,28268651.356423113,1.2117411283486227e+247,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,4,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,717069.9551172121,-0.9057312471916393,-0.8832080591086272,-1642938483.293505,180773.1519002776,836657.0389026719,-6.904191272973649e+151,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,5,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,2816982.647933487,-1.285499001780272,-1.214224265295386,-25527018847.819942,2503400.1278577624,3263794.339003654,-4.885327754501082e+198,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,6,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,427176.26639071305,-1.3895108056400827,-1.2990183642718776,-615354.1605113033,261881.8673840582,530468.4087607594,-5.62135269220853e+172,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,7,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7475936.354183501,-1.1898676545567537,-1.1338568210910513,-163431481634.5915,5296394.02078856,8840652.630060097,-8.232374271075699e+204,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,8,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,4954799.751907249,-0.9968638144541069,-0.9654504021629738,-6464817.117855523,1480413.575848688,6096124.101156854,-2.1420380699352445e+200,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,9,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,7.296971949775772e+37,2318153.3906183084,-1.0189224414698106,-0.9866499334531732,-296090240144.74713,1199547.3347085107,2617928.312181582,2.0687755934504708e+189,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,10,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,8.029474245380469e+37,212839.7444667857,-1.6105217796018623,-1.4916538973430633,-47427435.66594865,160839.1180681363,214347.2841179576,3.3376096866366495e+189,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,11,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,187348.19386549375,-1.9541834566359608,-1.7130005732233469,-183348778.26144484,154752.10127703124,201242.159656402,-3.84895879514469e+183,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,12,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,15927.566319104037,-1.4883989428021198,-1.3781103675661186,-17672444.077692915,10307.150892282152,18491.36210193075,-7.309631871479253e+122,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,13,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,6.896257618078587e+40,2988435.496309508,-1.3732631538044815,-1.2859044883436432,-186036183.78939036,2342681.226615557,3399823.8053451255,1.5597944962204998e+204,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,14,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,5.543119718295515e+47,6091314.239573334,-1.4545702260265756,-1.3519991579102861,-14744456607.742826,4652302.867027385,6690179.6250706725,5.233247710830676e+238,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,15,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,2.025066646960812e+28,124649.6384776238,-1.0893934903702653,-1.0472152483121175,-10334493.841103336,73930.03612114147,143575.73690783195,3.405623266988007e+141,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,16,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,11991.737119779604,-1.1740239784480642,-1.136383508359629,-9878.781690437509,6142.366197680818,14147.79135935961,-6.899816981931317e+101,insufficient_egarch_obs
