Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,reason
VIX hedge sleeve,Full-spread post-cost,0,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7168033329482175,0.932126008557307,-0.674903592830743,-0.763783447596094,-0.999311043707938,0.5378584469096838,0.6307864221479459,0.0018215482903023259,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,1,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.4722263120917739,0.8480547470041123,-0.1564464213655248,-0.18332186748910356,-0.9865950742217048,0.5103439852394365,0.6159157938346677,0.04094856374292174,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,2,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7149013074294495,0.8162503836641494,-0.9271481464614448,-0.9941089849470855,-0.998848019035575,0.4907548839939802,0.5860257842599187,0.001883545555161878,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,3,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.6832587637111049,1.0955686286835034,-0.23007423276595723,-0.2694707694472538,-0.996811965316747,0.6266704016839583,0.6662425416946709,0.0031880346832530394,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,4,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8658884087905809,1.094655462334937,-0.9065777920955796,-0.9828356293329531,-0.9999634112015007,0.6766990423011434,0.7306514446667555,4.3384198333144636e-05,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,5,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.1970528189268509,0.8309596330996317,0.2407613415784788,0.32013138697814747,-0.791838684673024,0.4561990908796438,0.5409301174537701,0.33376046265899356,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,6,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7608889429009855,0.9089945565159061,-0.8842210391561917,-0.9584853218345348,-0.9994482696816945,0.5609784158600765,0.6317217185423649,0.0007816247400770513,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,7,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.670215555482319,0.9804970822704887,-0.47112909201282394,-0.5575212475584727,-0.9985485842214914,0.49954338363725814,0.5748655147365578,0.0039007743982665305,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,8,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8718155961359472,0.9293800931139298,-1.4279954860756168,-1.4137608115069171,-0.9999705830054577,0.5468582685685373,0.5965386092329075,3.4607955204868405e-05,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,9,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.9110186381295733,1.3419758271544937,-0.5985038036333608,-0.692903347208618,-0.9999947903210339,0.7535275361321823,0.8381332356379668,5.578214907318277e-06,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,10,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.8101954366971458,1.254103453523701,-0.3416950447128268,-0.41185297820526345,-0.9999091572542229,0.6736079092881474,0.7853604911833907,0.000246339041845635,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,11,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.6333341250734509,0.7450353946491983,-0.8105306947205849,-0.8774619076029337,-0.9958990263046373,0.49096246297353524,0.5630175381171935,0.006627541614298318,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,12,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.889306414986292,0.9682291765366037,-1.4094283928850988,-1.4004000712942781,-0.99998338071768,0.6317252312346006,0.6741689169302117,1.6619282319975226e-05,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,13,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7846276475218404,0.9106443272349249,-0.9822537138874693,-1.0333912808997567,-0.9996459491104676,0.49461882004134394,0.5801805064820592,0.00046339330940763015,False,insufficient_egarch_obs
VIX hedge sleeve,Full-spread post-cost,14,garch11_residual_fallback_insufficient_egarch_obs,60,ok,60,-0.7977825935289504,1.1013236491405776,-0.6376948176073168,-0.7271914355713561,-0.9998122363706243,0.5430797299603289,0.6636886239396662,0.00033813698841325213,False,insufficient_egarch_obs
