Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,block_length
VIX hedge sleeve,Gross before costs,0,circular_block_bootstrap,60,ok,60,-1.0,1.053753160923549,-9.50912145557325,-3.2739936918954924,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,1,circular_block_bootstrap,60,ok,60,-1.0,1.4991242067655703,-5.987220857730865,-3.0300032447015437,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,2,circular_block_bootstrap,60,ok,60,-1.0,1.4284582826621846,-6.58583010586346,-3.1083354010382047,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,3,circular_block_bootstrap,60,ok,60,-1.0,1.622534475351421,-5.191461404024895,-2.933139392122268,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,4,circular_block_bootstrap,60,ok,60,-1.0,1.5716967345136652,-5.618187364924915,-2.99442283726465,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,5,circular_block_bootstrap,60,ok,60,-1.0,1.0306848642457915,-9.916679133778663,-3.2851671798952076,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,6,circular_block_bootstrap,60,ok,60,-1.0,1.4690540879653855,-6.223098413409531,-3.077905509763384,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,7,circular_block_bootstrap,60,ok,60,-1.0,1.630100073350002,-5.347474680596031,-2.9586392026095503,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,8,circular_block_bootstrap,60,ok,60,-1.0,1.2720879554350693,-7.908375966213237,-3.198338259257861,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,9,circular_block_bootstrap,60,ok,60,-1.0,1.6866415153932481,-4.948402264969178,-2.8945588817061805,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,10,circular_block_bootstrap,60,ok,60,-1.0,1.5676145672829407,-5.624110073284723,-3.000643318552768,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,11,circular_block_bootstrap,60,ok,60,-1.0,1.3645155179427444,-6.807784505309189,-3.1164559645732677,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,12,circular_block_bootstrap,60,ok,60,-1.0,1.5485525520859376,-5.681849279336112,-2.9993354080001904,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,13,circular_block_bootstrap,60,ok,60,-1.0,1.4404462177537363,-6.565020864158251,-3.106721685621023,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,14,circular_block_bootstrap,60,ok,60,-1.0,1.6083873085746858,-5.440920225637957,-2.967157164076951,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,15,circular_block_bootstrap,60,ok,60,-1.0,1.500463247396474,-5.754715822952841,-3.004256724106926,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,16,circular_block_bootstrap,60,ok,60,-1.0,1.8646965469260417,-4.163488487513328,-2.755879631991114,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,17,circular_block_bootstrap,60,ok,60,-1.0,1.5029107953642533,-5.9494807740881095,-3.0431897112421833,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,18,circular_block_bootstrap,60,ok,60,-1.0,1.0812352709079107,-9.489046856322839,-3.275107920270847,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,19,circular_block_bootstrap,60,ok,60,-1.0,1.5177356274551317,-5.992636879226867,-3.059935177612735,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,20,circular_block_bootstrap,60,ok,60,-1.0,1.3770092394620952,-6.7583480867349754,-3.1201834332779783,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,21,circular_block_bootstrap,60,ok,60,-1.0,1.482338016302293,-6.037307047657072,-3.046171075803603,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,22,circular_block_bootstrap,60,ok,60,-1.0,1.5184817381980997,-5.877520634381104,-3.0265522450325704,-1.0,1.0,1.0,0.0,True,6
VIX hedge sleeve,Gross before costs,23,circular_block_bootstrap,60,ok,60,-1.0,1.6321503364963923,-5.520066455107067,-3.000378792959678,-1.0,1.0,1.0,0.0,True,6
