Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,reason
VIX hedge sleeve,Gross before costs,0,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.7831493154357177e+35,460548.75004857813,-1.2645825729178006,-1.1967625930404688,-287729.07538430183,289712.99457675143,506287.4018436566,1.8027626674973228e+176,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,1,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,4.37786044682219e+31,182490.44458949217,-1.4628937187218507,-1.3593346092032796,-851984553.7321016,153928.499661152,203392.68932450723,1.6080870967316868e+158,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,2,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.310575113047833e+32,380234.4690071493,-1.2257772006397476,-1.1647457014479154,-11019339305732.023,202471.08823062084,441352.73910454655,3.8664249413964604e+160,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,3,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,2.042389934314941e+48,17032598.18845955,-1.3849289786267627,-1.3037357822512652,-5731937335.347913,12860175.344728023,18142302.86211678,3.553802652328787e+241,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,4,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,445937.6383112656,-0.9224908552894335,-0.898463827446197,-699575696.4785545,116790.39964571538,522976.81277779007,-6.591349005625309e+144,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,5,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,2356029.302226194,-1.298223522544276,-1.224763791373926,-20653990354.17589,2071358.568227078,2721504.069103649,-3.3499785283128704e+196,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,6,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,259017.6724081491,-1.4262270884309998,-1.3283600038849026,-378157.1029579327,164279.52077337226,319382.5650266658,-3.3125381032403366e+166,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,7,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,5731426.332139922,-1.1977111543208676,-1.1405320269632155,-112925769555.03331,3862083.2344475007,6839119.913888316,-1.8010410024149165e+201,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,8,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,3261860.73086442,-1.0118639494076247,-0.9788277151872862,-4202922.774904954,1010161.9835825985,4007228.468793428,-9.904826308185156e+194,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,9,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,5.970841192050907e+36,1548145.106810129,-1.0374341626407033,-1.0032482831992147,-142711837894.1763,851944.7213160171,1747529.8274578433,7.588878531017238e+183,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,10,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.1300425166052755e+36,121993.72010464562,-1.620866070101674,-1.5037921134099306,-20017728.796310134,91522.00986213704,122532.23953841797,1.8427818163980783e+180,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,11,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,142406.55503589025,-1.9625021203070319,-1.7185349159907612,-121602666.28332053,120201.08805637601,155186.71064193713,-1.8207125462997292e+179,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,12,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,10073.419270577384,-1.518222350890893,-1.4013692906066062,-7659335.949362991,6565.602940030205,11681.906296479654,-1.6048520111225837e+115,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,13,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,8.246913872440617e+39,2160028.47389656,-1.383490316428754,-1.2941490487908214,-133095954.94653054,1706159.2534665293,2462711.044815449,3.814672819646708e+199,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,14,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,1.0171113795764593e+46,3449550.1016861256,-1.483086431683994,-1.37443842993353,-6175919414.675884,2676885.167171792,3802763.9168823487,1.0885354231180309e+230,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,15,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,4.1658710383449135e+27,89305.12231082685,-1.1091136680960227,-1.0644129288265207,-7431267.758710252,55546.12214089858,102653.78867732896,1.2546688259628105e+138,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,16,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,7345.329036963316,-1.188050268087009,-1.148746511968216,-6056.240519138336,3878.311034739604,8654.038769764777,-5.5778392682330574e+94,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,17,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,10735.472562184314,-1.8293636894874612,-1.6286734244465888,-1503595.9633186755,6407.777002537558,12072.92662114544,-1.6351033512825418e+126,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,18,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,193063.2395229394,-1.397432302150984,-1.3061339362315036,-3952627736.939964,139007.29452513973,230772.9904495168,-4.979295788244049e+155,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,19,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,669057.7035058488,-1.2043497220068606,-1.146127215452999,-167760707.65404627,537267.7192845655,770780.3680402728,-5.209338596990963e+164,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,20,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1755698.5983286167,-1.2028534091983254,-1.1448455845514802,-3047065.134566417,1097588.4619855017,2094964.9552834628,-1.0618959762871798e+180,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,21,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,1245791.7792139854,-0.961149049318202,-0.9334109043905937,-6689544.378249209,485571.741344298,1421678.5755242284,-3.8161405785606244e+163,insufficient_egarch_obs
VIX hedge sleeve,Gross before costs,22,ewma_residual_fallback_insufficient_egarch_obs,60,ok,60,-1.0,210712.5832163157,-0.9299858145271559,-0.9053481990116632,-596984093.5664474,82025.39327462071,240708.8141986147,-1.388452391393045e+128,insufficient_egarch_obs
