Diagnostic,Value
Return construction,"Prior-date option selection, split-adjusted listed-expiry payoff"
Minimum option mark filter,0.25
Max train decision date,2020-11-30
Max train realization date,2020-12-31
First test decision date,2020-12-31
First test realization date,2021-01-29
Detected split/unit adjustments,7
Max single option return after repair,48.700
Min single option return after repair,-1.000
Expiry spot source,"Raw daily close on listed expiry, or prior trading day if missing"
VIX option return construction,"Prior-date VIX option selection, VX-forward Greeks, expiry settlement proxy flagged"
VIX settlement source,vro_soq_exact:536
VIX first test decision date,2020-12-31
