Year,Exact scalar parsed,SOQ component status,RequiredExpiries,FirstExpiration,LastExpiration
2015,False,downloaded,3,2015-12-09,2015-12-30
2015,True,downloaded,10,2015-02-18,2015-11-18
2016,False,unavailable,11,2016-05-04,2016-10-26
2016,True,downloaded,3,2016-01-20,2016-03-16
2016,True,unavailable,4,2016-04-20,2016-12-21
2017,False,unavailable,20,2017-02-15,2017-12-27
2017,True,unavailable,3,2017-01-18,2017-06-21
2018,False,unavailable,6,2018-01-03,2018-10-31
2018,True,unavailable,8,2018-02-14,2018-12-19
2019,True,downloaded,3,2019-10-16,2019-12-18
2019,True,unavailable,8,2019-01-16,2019-09-18
2020,True,downloaded,12,2020-01-22,2020-12-16
2021,True,downloaded,11,2021-01-20,2021-12-22
2022,True,downloaded,10,2022-01-19,2022-12-21
2023,True,downloaded,12,2023-01-18,2023-12-20
2024,True,downloaded,11,2024-01-17,2024-12-18
2025,True,downloaded,11,2025-01-22,2025-12-17
2026,True,downloaded,4,2026-01-21,2026-04-15
