strategy,bucket,n_months,mean_monthly_return,annualized_sharpe
Beta/delta-neutral + VIX,1,7,0.10068312836782621,1.2152127627250129
Beta/delta-neutral + VIX,2,7,0.02636422087130574,0.6720058499214452
Beta/delta-neutral + VIX,3,7,0.09927607847760131,1.238154364817343
Cost-aware Sortino + VIX,1,7,0.05067506728144907,0.13560941897223164
Cost-aware Sortino + VIX,2,7,0.642302764967021,1.1219001623751095
Cost-aware Sortino + VIX,3,7,0.7476164919916961,1.0964212125918207
Delta-matched equities,1,7,0.09691542999158582,1.9109446436952202
Delta-matched equities,2,7,0.08428376303942894,0.8297306106446454
Delta-matched equities,3,7,0.19835602779230155,2.223740205874202
Equal premium,1,7,-0.03918889761773235,-0.27323280565255387
Equal premium,2,7,0.022331746660929908,0.13307486680496214
Equal premium,3,7,-0.021157559070425325,-0.14676307629067073
Equal risk,1,7,0.007538326589184721,0.06861987039745612
Equal risk,2,7,-0.0019192290664790449,-0.02253273297676396
Equal risk,3,7,0.025240501085265314,0.23621702679349205
Equity-option Greek Markowitz,1,7,0.05221071497471843,0.5578895766362372
Equity-option Greek Markowitz,2,7,0.014162261972580454,0.204825324504788
Equity-option Greek Markowitz,3,7,0.12653818373144107,0.8903503854277217
Greek Markowitz + VIX,1,7,0.10239791849226836,1.352342300046188
Greek Markowitz + VIX,2,7,0.030062905958932556,0.8948639021803454
Greek Markowitz + VIX,3,7,0.10073821186244888,0.9856810755497296
Underlying Markowitz,1,7,0.01017055141397082,0.793770882297588
Underlying Markowitz,2,7,0.014639168069548862,0.7533037742179622
Underlying Markowitz,3,7,0.03343775803468901,1.5302241289389114
VIX hedge sleeve,1,7,-0.8756539679307219,-12.999234022706649
VIX hedge sleeve,2,7,-0.9959077380952381,-318.63779572459254
VIX hedge sleeve,3,7,-0.9684117701661562,-51.07865787334304
