name,category,status,severity,observed,expected,details
empirical regeneration skipped,producer,pass,warning,,,Fast audit mode explicitly skipped regeneration.
paper compile skipped,paper,pass,warning,,,Fast audit mode explicitly skipped LaTeX compilation.
required generated outputs exist,artifacts,pass,critical,[],no missing outputs,
empirical summary exists,artifacts,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/research/papers/option_only_markowitz/tables/empirical_summary.json,,
empirical summary schema,artifacts,pass,critical,"[""approximation"", ""claim_audit"", ""claim_strength"", ""cost_diagnostics"", ""cost_scenario_diagnostics"", ""data"", ""drawdown_breach_rates"", ""exposure"", ""factor_regression"", ""figure_visibility"", ""forecast_ablation_components"", ""forecast_ablation_performance"", ""hurdle_summary"", ""inference"", ""leave_one_out"", ""liquidity_tier_diagnostics"", ""liquidity_tier_performance"", ""performance"", ""performance_gross_only"", ""performance_post_cost"", ""pnl_attribution"", ""post_cost_survival"", ""random_feasible"", ""reality_check_inference"", ""regime_performance"", ""risk_calibration"", ""rolling_oos"", ""simulation_assumptions"", ""simulation_summary"", ""split_adjustments"", ""timing_diagnostics"", ""trading_data_audit"", ""vix_regime_performance"", ""vix_required_settlement_download_audit"", ""vix_settlement_audit"", ""vix_settlement_coverage""]","[""claim_audit"", ""claim_strength"", ""cost_diagnostics"", ""cost_scenario_diagnostics"", ""data"", ""drawdown_breach_rates"", ""exposure"", ""factor_regression"", ""figure_visibility"", ""forecast_ablation_components"", ""forecast_ablation_performance"", ""hurdle_summary"", ""inference"", ""leave_one_out"", ""liquidity_tier_diagnostics"", ""liquidity_tier_performance"", ""performance"", ""performance_post_cost"", ""pnl_attribution"", ""post_cost_survival"", ""random_feasible"", ""reality_check_inference"", ""regime_performance"", ""risk_calibration"", ""rolling_oos"", ""simulation_assumptions"", ""simulation_summary"", ""timing_diagnostics"", ""trading_data_audit"", ""vix_regime_performance"", ""vix_required_settlement_download_audit"", ""vix_settlement_audit"", ""vix_settlement_coverage""]",
input exists or is externally licensed: equity option feature store,data,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/data/feature_store/option_greek_proxy_panel.parquet,present for full rebuild; may be omitted from public standalone artifact package,
input exists or is externally licensed: Greek quality summary,data,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/data/feature_store/option_greek_quality.csv,present for full rebuild; may be omitted from public standalone artifact package,
input exists or is externally licensed: raw close panel,data,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/data/universe/multi_raw_close.csv,present for full rebuild; may be omitted from public standalone artifact package,
input exists or is externally licensed: VIX complex,data,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/data/universe/vix_complex.parquet,present for full rebuild; may be omitted from public standalone artifact package,
input exists or is externally licensed: VX futures curve,data,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/data/universe/vx_futures_daily.parquet,present for full rebuild; may be omitted from public standalone artifact package,
VIX raw monthly shards present or externally licensed,data,pass,critical,0,>=100 for full rebuild; may be omitted from public standalone artifact package,
standalone package uses generated data artifacts when licensed raw inputs are absent,data,pass,critical,raw OPRA/Databento inputs omitted,generated artifacts and data/README.md document rebuild inputs,
VIX OSI parser preserves terms,data,pass,critical,"[""VIX"", ""2026-06-17T00:00:00"", ""call"", 30.0]",,
VIX detail settlement source complete,data,pass,critical,"{""vro_soq_exact"": 536}",,
VIX headline rows use exact VRO/SOQ,data,pass,critical,"{""vro_soq_exact"": 536}",all vro_soq_exact,
VIX settlement audit artifact exists,data,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/research/papers/option_only_markowitz/artifacts/vix_settlement_audit.csv,,
VIX Greek model is Black-76 VX-forward,data,pass,critical,"{""black76_vx_forward"": 536}",,
VIX underlying is VX forward,data,pass,critical,"{""VX_FRONT"": 536}",,
VIX long-option return lower bound,data,pass,critical,-1.0,>=-1,
ledger has rows,pit,pass,critical,6313,,
decisions precede payoff,pit,pass,critical,decision_date < payoff_date,,
equity payoff no later than return date,pit,pass,critical,equity rows=5777,,
VIX proxy payoff timing is after decision,pit,pass,critical,VIX rows=536,,
state snapshot observable by decision,pit,pass,critical,state_snapshot_date <= decision_date,,
OOS forecast train end before return,pit,pass,critical,OOS rows=3088,,
OOS decision dates after frozen train split,pit,pass,critical,2020-12-31 00:00:00,,
all option returns finite,pit,pass,critical,6313,,
no long premium return below -100 percent,pit,pass,critical,-1.0,,
timing diagnostic train/test split recorded,pit,pass,critical,"[{""Diagnostic"": ""Return construction"", ""Value"": ""Prior-date option selection, split-adjusted listed-expiry payoff""}, {""Diagnostic"": ""Minimum option mark filter"", ""Value"": ""0.25""}, {""Diagnostic"": ""Max train decision date"", ""Value"": ""2020-11-30""}]",,
trading audit pass/proxy only,pit,pass,critical,"[""yes""]",yes/proxy,
BSM finite-difference delta,math,pass,critical,0.6128357071576026,0.6128356952519454,
BSM finite-difference gamma,math,pass,critical,0.02497447913712423,0.024974478591843763,
BSM finite-difference vega,math,pass,critical,24.457407521069207,24.457407423703614,
Black-76 finite-difference delta,math,pass,critical,0.6987191589614669,0.6987191572846996,
Black-76 finite-difference gamma,math,pass,critical,0.06777879544668074,0.06777879590913471,
Black-76 finite-difference vega,math,pass,critical,2.359259167534462,2.359259164059768,
Greek covariance construction identity,math,pass,critical,1.1102230246251565e-16,,
